world,model,roc_auc,rank
WorldE,LightGBM,0.7322666666666666,39
WorldE,XGBoost,0.7295407407407408,40
WorldF,Logistic_L1,0.7829925925925926,1
WorldF,Logistic_L1,0.7825777777777778,2
WorldF,Logistic_L1,0.7809185185185185,3
WorldF,Logistic_L2,0.7783111111111112,4
WorldF,Logistic_L2,0.7768296296296296,5
WorldF,Logistic_L2,0.7765333333333333,6
WorldF,ExtraTrees,0.7710814814814815,7
WorldF,ExtraTrees,0.7697185185185185,8
WorldF,GaussianNB,0.7694222222222222,9
WorldF,ExtraTrees,0.767762962962963,10
WorldF,GradientBoosting,0.7677037037037038,11
WorldF,GaussianNB,0.7659851851851852,12
WorldF,GaussianNB,0.7640888888888888,13
WorldF,MLP,0.7638518518518519,14
WorldF,GradientBoosting,0.7601777777777778,15
WorldF,MLP,0.7568592592592593,16
WorldF,MLP,0.7556148148148149,17
WorldF,GradientBoosting,0.7542814814814816,18
WorldF,SVC_RBF,0.7513185185185185,19
WorldF,SVC_RBF,0.7478814814814815,20
WorldF,SVC_RBF,0.7459555555555555,21
WorldF,XGBoost,0.7441777777777778,22
WorldF,RandomForest,0.7405037037037037,23
WorldF,RandomForest,0.7393777777777778,24
WorldF,LightGBM,0.7349333333333333,25
WorldF,RandomForest,0.7326222222222222,26
WorldF,XGBoost,0.7275259259259259,27
WorldF,LightGBM,0.7199407407407408,28
WorldF,LightGBM,0.7196444444444444,29
WorldF,XGBoost,0.7195851851851852,30
WorldG,Logistic_L1,0.7816888888888889,1
WorldG,Logistic_L1,0.7811555555555556,2
WorldG,Logistic_L2,0.7808592592592593,3
WorldG,Logistic_L2,0.7806222222222222,4
WorldG,GaussianNB,0.7675851851851851,5
WorldG,Logistic_L1,0.7647407407407408,6
WorldG,Logistic_L2,0.7635555555555555,7
WorldG,ExtraTrees,0.7584000000000001,8
WorldG,ExtraTrees,0.756562962962963,9
WorldG,GaussianNB,0.7490962962962964,10
WorldG,GaussianNB,0.7476740740740742,11
WorldG,ExtraTrees,0.7466074074074074,12
WorldG,MLP,0.7448888888888889,13
WorldG,RandomForest,0.7438814814814816,14
WorldG,SVC_RBF,0.7421037037037037,15
WorldG,SVC_RBF,0.7407407407407407,16
WorldG,RandomForest,0.7404444444444445,17
WorldG,SVC_RBF,0.7376,18
WorldG,GradientBoosting,0.730725925925926,19
WorldG,MLP,0.7245037037037038,20
WorldG,MLP,0.7241481481481481,21
WorldG,RandomForest,0.7132444444444445,22
WorldG,GradientBoosting,0.7047111111111112,23
WorldG,GradientBoosting,0.6849185185185185,24
